id,vehicle_no,odometer,latitude,longitude,speed,distance,car_battery_voltage,dev_battery_voltage,create_date_time,beacon_date_time,source_id,distance_to_target
98127601,MH14LX0065,3790.7695,18.531293666666667,73.92868966666667,0.65,1.1085798,50.5618,3.6548,2025-01-01 15:14:09.000,2025-01-01 15:13:24.156,1,798.5408346677186
98127622,MH14LL2853,2979.3325,18.4685205,73.85849816666666,14.53,33.928204,51.6945,4.0005,2025-01-01 15:14:09.000,2025-01-01 15:13:58.868,1,9508.857226713037
98127982,MH14LX0065,3790.7751,18.5312955,73.928727,1.22,1.1142207,50.9956,3.6536,2025-01-01 15:15:09.000,2025-01-01 15:14:44.156,1,802.4655115189955
98128001,MH14LL2853,2979.4014,18.468451833333333,73.85787,1.13,33.996914,51.9596,4.0005,2025-01-01 15:15:09.000,2025-01-01 15:14:58.868,1,9560.613507951894
98128359,MH14LX0065,3790.781,18.53127333333333,73.928726,1.56,1.1200668,50.3931,3.6525,2025-01-01 15:16:09.000,2025-01-01 15:15:44.156,1,801.9798366233608
98128379,MH14LL2853,2979.441,18.468569666666667,73.857574,7.77,34.036766,51.9355,4.0005,2025-01-01 15:16:09.000,2025-01-01 15:15:58.868,1,9573.219306211084
98128731,MH14LX0065,3790.79,18.5313425,73.92869483333334,0.13,1.129095,50.4654,3.6525,2025-01-01 15:17:09.000,2025-01-01 15:16:44.156,1,799.9477626677996
98128749,MH14LL2853,2979.5645,18.469615,73.85723833333333,0.63,34.160282,51.815,3.9993,2025-01-01 15:17:09.000,2025-01-01 15:16:58.868,1,9516.297095532913
98129094,MH14LL2853,2979.592,18.46973133333333,73.85722483333333,0.38,34.187725,51.4535,4.0016,2025-01-01 15:18:09.000,2025-01-01 15:17:58.868,1,9508.245702495924
98129478,MH14LL2853,2979.5981,18.469746166666667,73.8572355,0.58,34.19396,52.056,4.0016,2025-01-01 15:19:09.000,2025-01-01 15:18:58.868,1,9506.28996102709
98129840,MH14LL2853,2979.6013,18.46976533333333,73.85722033333333,0.83,34.19688,51.9355,4.0016,2025-01-01 15:20:09.000,2025-01-01 15:19:18.868,1,9505.936248014083
98129911,MH14LL6185,2094.217,18.58693,73.82351833333334,10.0,0.68092287,52.297,3.6079,2025-01-01 15:20:10.000,2025-01-01 15:19:22.322,1,12077.629073742371
98130260,MH14LL2853,2979.612,18.46980933333333,73.85720266666667,0.35,34.207584,52.056,4.0016,2025-01-01 15:21:11.000,2025-01-01 15:20:58.868,1,9503.838567081779
98130672,MH14LL6185,2094.253,18.58683333333333,73.82341166666667,1.09,0.716953,51.3089,3.6079,2025-01-01 15:22:10.000,2025-01-01 15:21:52.322,1,12081.6900680551
98130602,MH14LL2853,2979.6335,18.469795166666668,73.85731116666666,1.39,34.229,52.2488,4.0016,2025-01-01 15:22:10.000,2025-01-01 15:21:58.868,1,9496.794813204204
98130972,ZENPUN24056,4807.315,18.531147,73.92975183333333,1.5,1.1352783,54.3937,3.5493,2025-01-01 15:23:10.000,2025-01-01 15:22:46.202,1,907.3591954957434
98130973,MH14LL2853,2979.8518,18.471664,73.85670866666666,21.86,34.447144,52.1524,4.0005,2025-01-01 15:23:10.000,2025-01-01 15:22:58.868,1,9398.413081575283
98131046,MH14LL6185,2094.274,18.586871666666667,73.82341666666666,1.03,0.73789805,51.6463,3.6091,2025-01-01 15:23:10.000,2025-01-01 15:22:52.322,1,12083.441731969722
98131404,MH14LL6185,2094.2966,18.586751666666668,73.823585,2.44,0.7605689,51.7427,3.6079,2025-01-01 15:24:10.000,2025-01-01 15:23:52.323,1,12061.360472112763
